[1/4] build frozen encoder from /data1/likun-share/junjxu/.stable_worldmodel/uniform_motion_paperinit_id1k/uniform_motion_paperinit_id1k_epoch_20_object.ckpt (emb_source=cls)
      emb_dim = 192
[2/4] load pixels for uniform_motion
      32000 frames, (3, 224, 224)
[3/4] precompute embeddings (frozen encoder)
  embed 256/32000
  embed 5376/32000
  embed 10496/32000
  embed 15616/32000
  embed 20736/32000
  embed 25856/32000
  embed 30976/32000
      done in 10.1s, emb (32000, 192)
[4/4] train decoder: 28800 train / 3200 val, 40 epochs
  ep   1 | train 0.2601 | val_mse 0.00596 | val_psnr 22.25 dB | lr 2.00e-04
  ep   2 | train 0.0386 | val_mse 0.00104 | val_psnr 29.84 dB | lr 1.99e-04
  ep   3 | train 0.0144 | val_mse 0.00067 | val_psnr 31.77 dB | lr 1.97e-04
  ep   4 | train 0.0077 | val_mse 0.00055 | val_psnr 32.58 dB | lr 1.95e-04
  ep   5 | train 0.0051 | val_mse 0.00040 | val_psnr 33.94 dB | lr 1.92e-04
  ep   6 | train 0.0037 | val_mse 0.00036 | val_psnr 34.50 dB | lr 1.89e-04
  ep   7 | train 0.0030 | val_mse 0.00031 | val_psnr 35.04 dB | lr 1.85e-04
  ep   8 | train 0.0025 | val_mse 0.00034 | val_psnr 34.65 dB | lr 1.81e-04
  ep   9 | train 0.0021 | val_mse 0.00028 | val_psnr 35.49 dB | lr 1.76e-04
  ep  10 | train 0.0019 | val_mse 0.00029 | val_psnr 35.44 dB | lr 1.71e-04
  ep  11 | train 0.0017 | val_mse 0.00026 | val_psnr 35.78 dB | lr 1.65e-04
  ep  12 | train 0.0016 | val_mse 0.00031 | val_psnr 35.02 dB | lr 1.59e-04
  ep  13 | train 0.0015 | val_mse 0.00022 | val_psnr 36.67 dB | lr 1.52e-04
  ep  14 | train 0.0014 | val_mse 0.00022 | val_psnr 36.67 dB | lr 1.45e-04
  ep  15 | train 0.0013 | val_mse 0.00021 | val_psnr 36.85 dB | lr 1.38e-04
  ep  16 | train 0.0013 | val_mse 0.00019 | val_psnr 37.16 dB | lr 1.31e-04
  ep  17 | train 0.0012 | val_mse 0.00021 | val_psnr 36.71 dB | lr 1.23e-04
  ep  18 | train 0.0011 | val_mse 0.00018 | val_psnr 37.41 dB | lr 1.16e-04
  ep  19 | train 0.0011 | val_mse 0.00017 | val_psnr 37.76 dB | lr 1.08e-04
  ep  20 | train 0.0011 | val_mse 0.00017 | val_psnr 37.61 dB | lr 1.00e-04
  ep  21 | train 0.0010 | val_mse 0.00016 | val_psnr 37.95 dB | lr 9.22e-05
  ep  22 | train 0.0010 | val_mse 0.00016 | val_psnr 38.06 dB | lr 8.44e-05
  ep  23 | train 0.0010 | val_mse 0.00015 | val_psnr 38.13 dB | lr 7.67e-05
  ep  24 | train 0.0009 | val_mse 0.00016 | val_psnr 37.87 dB | lr 6.91e-05
  ep  25 | train 0.0009 | val_mse 0.00014 | val_psnr 38.66 dB | lr 6.17e-05
  ep  26 | train 0.0009 | val_mse 0.00013 | val_psnr 38.83 dB | lr 5.46e-05
  ep  27 | train 0.0009 | val_mse 0.00013 | val_psnr 39.02 dB | lr 4.78e-05
  ep  28 | train 0.0008 | val_mse 0.00012 | val_psnr 39.15 dB | lr 4.12e-05
  ep  29 | train 0.0008 | val_mse 0.00012 | val_psnr 39.05 dB | lr 3.51e-05
  ep  30 | train 0.0008 | val_mse 0.00012 | val_psnr 39.35 dB | lr 2.93e-05
  ep  31 | train 0.0008 | val_mse 0.00011 | val_psnr 39.54 dB | lr 2.40e-05
  ep  32 | train 0.0008 | val_mse 0.00011 | val_psnr 39.72 dB | lr 1.91e-05
  ep  33 | train 0.0008 | val_mse 0.00011 | val_psnr 39.78 dB | lr 1.47e-05
  ep  34 | train 0.0008 | val_mse 0.00010 | val_psnr 39.89 dB | lr 1.09e-05
  ep  35 | train 0.0007 | val_mse 0.00010 | val_psnr 40.00 dB | lr 7.61e-06
  ep  36 | train 0.0007 | val_mse 0.00010 | val_psnr 40.00 dB | lr 4.89e-06
  ep  37 | train 0.0007 | val_mse 0.00010 | val_psnr 40.12 dB | lr 2.76e-06
  ep  38 | train 0.0007 | val_mse 0.00010 | val_psnr 40.12 dB | lr 1.23e-06
  ep  39 | train 0.0007 | val_mse 0.00010 | val_psnr 40.17 dB | lr 3.08e-07
  ep  40 | train 0.0007 | val_mse 0.00010 | val_psnr 40.18 dB | lr 0.00e+00
[done] best val_mse=0.00010 (40.18 dB). Grids + weights in /data1/likun-share/junjxu/runs/decoder_viz/uniform_finetuned
